word,pos,zh,corpus_count,corpus_share,tracks
crush,n.,压碎、粉碎、群众,628,0.374,cet4+cet6+postgrad
cry,v.,哭、叫、喊,5000,0.677,life
cry,n.,叫声、哭声、大叫,2178,0.295,life
curb,v.,抑制、束缚、勒住,262,0.714,cet6+postgrad
curb,n.,抑制、勒马绳、边石,89,0.243,cet6+postgrad
cure,n.,治疗、治愈、治疗法,1713,0.618,cet4+cet6+postgrad
cure,v.,治疗、治愈、改正,1024,0.370,cet4+cet6+postgrad
current,adj.,流通的、现在的、当前的,12931,0.984,life+cet4+cet6+postgrad
current,n.,涌流、趋势、流,193,0.015,life+cet4+cet6+postgrad
curtain,n.,帐、幕、窗帘,1179,0.823,cet4+cet6+postgrad
curtain,v.,装帘子于、遮蔽,50,0.035,cet4+cet6+postgrad
cushion,n.,垫子、橡皮软垫,3449,0.968,cet4+cet6+postgrad
cushion,v.,加垫褥、缓冲、掩盖,84,0.024,cet4+cet6+postgrad
cut,v.,切、割、减少,32899,0.728,life
cut,n.,切口、割伤、降低,9932,0.220,life
daily,adj.,每日的、日常的,4297,0.503,life+cet4+postgrad
daily,adv.,每日地、日常地,503,0.059,life+cet4+postgrad
damage,n.,损害、伤害,11838,0.905,life+cet4+cet6+postgrad
damage,v.,损害,1245,0.095,life+cet4+cet6+postgrad
damp,adj.,潮湿的,3730,0.851,cet4+cet6+postgrad
damp,v.,使潮湿、使阻尼、抑止,591,0.135,cet4+cet6+postgrad
dance,n.,跳舞、舞蹈、舞会,16963,0.634,life
dance,v.,跳舞,7060,0.264,life
dark,adj.,黑暗的、暗的、深色的,15247,0.877,life
dark,n.,黑暗、夜、黄昏,2140,0.123,life
dash,n.,冲撞、破折号、短跑,1283,0.655,cet4+cet6+postgrad
dash,v.,猛冲、冲撞,386,0.197,cet4+cet6+postgrad
date,n.,日期、约会、枣椰树,16000,0.916,life
date,v.,约会、定日期,1275,0.073,life
dazzle,v.,(使)眼花、炫耀,188,0.516,cet6+postgrad
dazzle,n.,耀眼,98,0.269,cet6+postgrad
deadly,adj.,致命的、致死的,3833,0.630,cet4+postgrad
deadly,adv.,非常、如死一般地,389,0.064,cet4+postgrad
deal,n.,交易、协定、数量,26868,0.612,life+cet4+cet6+postgrad
deal,v.,处理、应付、做生意,15465,0.352,life+cet4+cet6+postgrad
debate,n.,辩论、讨论,15616,0.922,life+cet4+cet6+postgrad
debate,v.,争论、辩论,1318,0.078,life+cet4+cet6+postgrad
decimal,adj.,十进位的、小数的,198,0.783,cet6+postgrad
decimal,n.,十进制、小数,39,0.154,cet6+postgrad
decline,n.,衰退、跌落、下降,2436,0.885,life+cet4+cet6+postgrad
decline,v.,使降低、婉谢,301,0.109,life+cet4+cet6+postgrad
decrease,n.,减少、减少量,248,0.573,cet4+cet6+postgrad
decrease,v.,减少,185,0.427,cet4+cet6+postgrad
deed,n.,行为、实行、契约,540,0.808,cet4+cet6+postgrad
deed,v.,立契转让,100,0.150,cet4+cet6+postgrad
deep,adj.,深的,15809,0.830,life
deep,adv.,深入地,2581,0.136,life
default,n.,违约、不履行责任、缺席,1116,0.837,cet6
default,v.,疏怠职责、缺席、拖欠,192,0.144,cet6
defeat,n.,败北、失败,4015,0.664,cet4+cet6+postgrad
defeat,v.,击败、使落空,2028,0.335,cet4+cet6+postgrad
delay,n.,耽搁、迟滞,1781,0.682,cet4+cet6+postgrad
delay,v.,耽搁、延迟,823,0.315,cet4+cet6+postgrad
delegate,v.,委派...为代表,119,0.610,cet4+cet6+postgrad
delegate,n.,代表,72,0.369,cet4+cet6+postgrad
deliberate,adj.,深思熟虑的、故意的、从容的,891,0.880,cet4+cet6+postgrad
deliberate,v.,仔细考虑,121,0.119,cet4+cet6+postgrad
delight,n.,高兴、愉快,1846,0.841,cet4+cet6+postgrad
delight,v.,使高兴、乐于,213,0.097,cet4+cet6+postgrad
demand,n.,要求、需求、需要,6075,0.822,life+cet4+cet6+postgrad
demand,v.,要求、查询,1311,0.177,life+cet4+cet6+postgrad
deposit,n.,存款、定金、堆积物,1493,0.937,cet4+cet6+postgrad
deposit,v.,存放、堆积,79,0.050,cet4+cet6+postgrad
desert,n.,沙漠、应得的赏罚、功劳,3255,0.801,cet4+cet6+postgrad
desert,v.,放弃、遗弃、擅离,148,0.036,cet4+cet6+postgrad
design,n.,设计、图样、方案,10256,0.877,life+cet4+cet6+postgrad
design,v.,设计、计划,1306,0.112,life+cet4+cet6+postgrad
designate,v.,指定、指明、称呼,80,0.784,cet6+postgrad
designate,adj.,已选出而未上任的,21,0.206,cet6+postgrad
desire,n.,欲望、要求,3297,0.932,life+cet4+cet6+postgrad
desire,v.,想要、请求,211,0.060,life+cet4+cet6+postgrad
despatch,n.,派遣,106,0.671,cet6+postgrad
despatch,v.,派遣,20,0.127,cet6+postgrad
devil,n.,魔鬼,2359,0.666,cet4+cet6+postgrad
devil,v.,折磨、戏弄,66,0.019,cet4+cet6+postgrad
dial,n.,刻度盘、钟面、转盘,799,0.635,cet4+cet6+postgrad
dial,v.,拨,309,0.245,cet4+cet6+postgrad
die,v.,死亡、消逝、平息,15005,0.938,life
die,n.,骰子、冲模,985,0.062,life
dim,v.,使暗淡,102,0.162,cet4+cet6+postgrad
dim,adj.,暗淡的、模糊的,49,0.078,cet4+cet6+postgrad
dip,n.,浸、涉猎,2330,0.693,cet4+cet6+postgrad
dip,v.,浸、降下、把(手、勺等)伸入,983,0.292,cet4+cet6+postgrad
direct,adj.,直接的、坦白的,5480,0.815,life+cet4+cet6+postgrad
direct,v.,指示、指挥、命令,775,0.115,life+cet4+cet6+postgrad
discount,n.,折扣、贴现率,1381,0.822,cet4+cet6+postgrad
discount,v.,打折扣,262,0.156,cet4+cet6+postgrad
dislike,v.,讨厌、不喜欢,451,0.681,cet4+cet6+postgrad
dislike,n.,嫌恶,210,0.317,cet4+cet6+postgrad
display,n.,显示、陈列、炫耀,4849,0.840,cet4+cet6+postgrad
display,v.,陈列、显示、表现,899,0.156,cet4+cet6+postgrad
dispute,n.,争论,1973,0.863,cet4+cet6+postgrad
dispute,v.,争论,308,0.135,cet4+cet6+postgrad
disregard,n.,忽视、漠视,176,0.618,cet6+postgrad
disregard,v.,忽视、不顾,107,0.375,cet6+postgrad
divide,v.,分开、分配、分裂,1276,0.563,life+cet4+postgrad
divide,n.,分配、分水岭,990,0.437,life+cet4+postgrad
divine,adj.,神的、神圣的、非凡的,732,0.440,cet6+postgrad
divine,n.,神学家,581,0.349,cet6+postgrad
document,n.,文件、公文、文档,2906,0.948,life+cet4+cet6+postgrad
document,v.,证明、为...引证,146,0.048,life+cet4+cet6+postgrad
doubt,n.,怀疑、疑惑,12871,0.819,life+cet4+cet6+postgrad
doubt,v.,怀疑、不信,2814,0.179,life+cet4+cet6+postgrad
doze,v.,打瞌睡、假寐,34,0.531,postgrad
doze,n.,瞌睡,29,0.453,postgrad
draft,n.,气流、草稿、汇票,1380,0.931,cet4+cet6+postgrad
draft,v.,起草、征兵,99,0.067,cet4+cet6+postgrad
drag,v.,拖累、拖拉、沉重缓慢地走,1846,0.638,cet4+cet6+postgrad
drag,n.,拖、拖累,1033,0.357,cet4+cet6+postgrad
drain,n.,排水沟、消耗、排水,1516,0.679,cet4+cet6+postgrad
drain,v.,排出、喝光、耗尽,710,0.318,cet4+cet6+postgrad
draw,v.,拉、拖、拔剑,9429,0.634,life
draw,n.,拉、拖、拔出,4932,0.332,life
dream,n.,梦、空想、愿望,16658,0.835,life+cet4+cet6+postgrad
dream,v.,做梦、想象、梦想,3291,0.165,life+cet4+cet6+postgrad
dress,n.,服装、覆盖物,11283,0.796,life
dress,v.,穿着,2613,0.184,life
drift,v.,(使)漂流,668,0.511,cet4+cet6+postgrad
drift,n.,漂流物、漂流、动向,584,0.447,cet4+cet6+postgrad
drill,n.,钻孔机、钻子、播种机,1227,0.670,cet4+cet6+postgrad
drill,v.,训练、钻孔,556,0.303,cet4+cet6+postgrad
drink,n.,饮料、酒,14977,0.646,life
drink,v.,喝、喝酒,8220,0.354,life
drip,n.,水滴,570,0.720,cet4+cet6+postgrad
drip,v.,(使)滴下,134,0.169,cet4+cet6+postgrad
drive,v.,开车、驱使、推动,10805,0.542,life
drive,n.,驾车、快车道、推进力,8143,0.408,life
drop,v.,放下、掉下、下降,8600,0.543,life+cet4+cet6+postgrad
drop,n.,滴、微量、落下,6995,0.441,life+cet4+cet6+postgrad
drum,v.,击鼓、作鼓声,3281,0.757,cet4+cet6+postgrad
drum,n.,鼓、鼓声,351,0.081,cet4+cet6+postgrad
dry,adj.,干的、无酒的、枯燥无味的,16762,0.904,life
dry,v.,把...弄干,1158,0.062,life
duck,n.,鸭子,6489,0.952,cet4+cet6+postgrad
duck,v.,没入水中、闪避,326,0.048,cet4+cet6+postgrad
dump,v.,倾倒、倾销,1147,0.564,cet4+cet6+postgrad
dump,n.,垃圾场,860,0.423,cet4+cet6+postgrad
dwarf,n.,矮子、侏儒,624,0.806,cet6+postgrad
dwarf,v.,(使)变矮小,53,0.068,cet6+postgrad
dye,n.,颜料、染料,409,0.665,cet4+cet6+postgrad
dye,v.,染、染色,170,0.276,cet4+cet6+postgrad
dynamic,adj.,动态的、有活力的、有力的,1366,0.809,cet4+cet6+postgrad
dynamic,n.,动力、动态,271,0.161,cet4+cet6+postgrad
early,adj.,早的、早熟的,28649,0.675,life
early,adv.,很早、初,13707,0.323,life
earnest,n.,定金、诚挚、认真,202,0.537,cet4+cet6+postgrad
earnest,adj.,认真的、热心的、重要的,125,0.332,cet4+cet6+postgrad
ease,v.,使安乐、使安心、减轻,1932,0.561,cet4+cet6+postgrad
ease,n.,安乐、安逸、悠闲,1490,0.433,cet4+cet6+postgrad
ebb,n.,退潮、衰退,230,0.813,postgrad
ebb,v.,潮退、衰退,32,0.113,postgrad
edge,n.,边缘、尖锐、刀刃,11865,0.943,life+cet4+cet6+postgrad
edge,v.,使锐利、挤进、镶边,223,0.018,life+cet4+cet6+postgrad
effect,n.,结果、影响、效果,13721,0.988,life+cet4+cet6+postgrad
effect,v.,实行、引起、完成,160,0.012,life+cet4+cet6+postgrad
elaborate,adj.,精细的、详尽的、精心计划(或制作)的,1058,0.877,cet4+cet6+postgrad
elaborate,v.,详细地说明、用心地制作、发挥,149,0.123,cet4+cet6+postgrad
elastic,adj.,有弹性的、能伸缩的、可通融的,474,0.878,cet4+cet6+postgrad
elastic,n.,松紧带、橡皮筋,37,0.069,cet4+cet6+postgrad
eligible,adj.,有资格当选的、合格的,770,0.948,cet6+postgrad
eligible,n.,有资格者、合格者、适任者,42,0.052,cet6+postgrad
else,adv.,另外、否则、不然,62072,0.976,life
else,adj.,别的、其他的,1530,0.024,life
empty,adj.,空的、空虚的、空腹的,9280,0.965,life
empty,v.,倒空、使变空、使排出,339,0.035,life
encounter,n.,相会、相遇、遭遇,1287,0.683,cet4+cet6+postgrad
encounter,v.,遇见、邂逅、会战,563,0.299,cet4+cet6+postgrad
end,n.,结束、终点、目标,95243,0.803,life
end,v.,结束、终结、终止,19580,0.165,life
endeavour,n.,努力、力图、尽力,427,0.601,cet6
endeavour,v.,努力、力图、尽力,96,0.135,cet6
engineer,n.,工程师、工兵,2568,0.926,life+cet4+cet6+postgrad
engineer,v.,设计、监造、精明地处理,106,0.038,life+cet4+cet6+postgrad
enough,adv.,足够,63021,0.700,life
enough,adj.,充足的、足够,24386,0.271,life
envy,n.,羡慕、嫉妒,540,0.619,cet4+cet6+postgrad
envy,v.,羡慕、嫉妒,314,0.360,cet4+cet6+postgrad
epidemic,n.,传染病、流行病,297,0.560,cet6+postgrad
epidemic,adj.,流行的、传染性的,232,0.438,cet6+postgrad
equal,adj.,相等的、平等的、胜任的,3753,0.918,life+cet4+cet6+postgrad
equal,v.,等于、比得上,164,0.040,life+cet4+cet6+postgrad
equivalent,n.,同等物、等价物、相等物,2252,0.705,cet4+cet6+postgrad
equivalent,adj.,相等的、相当的、同意义的,938,0.294,cet4+cet6+postgrad
escape,v.,逃脱、避开、溜走,5386,0.579,cet4+cet6+postgrad
escape,n.,逃亡、避难设备、逃跑,3417,0.368,cet4+cet6+postgrad
estimate,n.,估计、判断,10133,0.883,life+cet4+cet6+postgrad
estimate,v.,估计、评价、判断,1163,0.101,life+cet4+cet6+postgrad
evil,adj.,邪恶的、不幸的、有害的,3918,0.691,cet4+cet6+postgrad
evil,n.,邪恶、不幸、罪恶,1063,0.187,cet4+cet6+postgrad
excess,n.,过度、剩于、超过,1218,0.601,cet4+cet6+postgrad
excess,adj.,过量的、额外的,799,0.394,cet4+cet6+postgrad
exchange,n.,交换、(电话)交换局、交换机,2484,0.723,life+cet4+cet6+postgrad
exchange,v.,交换、交易、兑换,295,0.086,life+cet4+cet6+postgrad
executive,n.,执行部门、执行委员会、执行者,4480,0.589,life+cet4+cet6+postgrad
executive,adj.,执行的、善于执行的、善于经营的,499,0.066,life+cet4+cet6+postgrad
exempt,adj.,免除的,313,0.907,cet6+postgrad
exempt,v.,使免除、豁免,32,0.093,cet6+postgrad
exercise,n.,行使、执行、运动,4687,0.827,life
exercise,v.,运用、练习、运动,948,0.167,life
exhaust,n.,排气、排气装置、废气,368,0.840,cet4+cet6+postgrad
exhaust,v.,抽完、用尽、耗尽,57,0.130,cet4+cet6+postgrad
exhibit,n.,显示、显现、展览品,474,0.718,cet4+cet6+postgrad
exhibit,v.,展现、陈列、展览,186,0.282,cet4+cet6+postgrad
experience,n.,经历、经验、体验,26099,0.914,life+cet4+cet6+postgrad
experience,v.,经历、经验、体验,2467,0.086,life+cet4+cet6+postgrad
expert,n.,专家、行家,9598,0.883,life+cet4+postgrad
expert,adj.,老练的、内行的、专门的,1215,0.112,life+cet4+postgrad
export,n.,输出品、输出,1309,0.698,cet4+postgrad
export,v.,输出、出口,523,0.279,cet4+postgrad
express,v.,表达、表示、表露,2333,0.593,life+cet4+cet6+postgrad
express,adj.,明确的、丝毫不差的、专门的,309,0.079,life+cet4+cet6+postgrad
express,n.,快车、快递、专使,45,0.011,life+cet4+cet6+postgrad
exterior,n.,外部、表面、外貌,784,0.866,cet4+cet6+postgrad
exterior,adj.,外部的、外在的、表面的,105,0.116,cet4+cet6+postgrad
extreme,adj.,极端的、尽头的、极度的,4697,0.883,cet4+cet6+postgrad
extreme,n.,极端、末端,478,0.090,cet4+cet6+postgrad
face,n.,脸、面容、正面,38160,0.684,life
face,v.,面对、朝、正视,16267,0.292,life
fail,v.,失败、缺乏、中断,5727,0.932,life
fail,n.,不及格,162,0.026,life
faint,adj.,模糊的、微弱的、无力的,899,0.790,cet4+cet6+postgrad
faint,v.,昏倒、变得微弱,226,0.199,cet4+cet6+postgrad
fair,adj.,公平的、按规则进行的、不好不坏的,24394,0.847,life+cet4+cet6+postgrad
fair,n.,展览会、市集、美好的事物,842,0.029,life+cet4+cet6+postgrad
faithful,adj.,忠实的、详确的、可靠的,744,0.561,cet4+cet6+postgrad
faithful,n.,信徒,495,0.373,cet4+cet6+postgrad
fake,adj.,假的,5588,0.857,cet6+postgrad
fake,n.,假货、欺骗、诡计,597,0.092,cet6+postgrad
fall,v.,倒下、落下、来临,13941,0.677,life
fall,n.,落下、瀑布、采伐量,6642,0.323,life
fancy,adj.,想象的、精美的、新奇的,8769,0.795,cet4+cet6+postgrad
fancy,n.,想象力、幻想、喜好,1096,0.099,cet4+cet6+postgrad
far,adv.,甚远地、很、到很深的程度,78200,0.952,life
far,adj.,远的、久远的、遥远的,3019,0.037,life
fare,n.,费用、旅客、食物,1299,0.678,cet4+cet6+postgrad
fare,v.,进展、进步、经营,576,0.301,cet4+cet6+postgrad
farm,n.,农场、农田,11066,0.846,life
farm,v.,耕种,199,0.015,life
fast,adv.,很快地、紧紧地、彻底地,16467,0.663,life
fast,adj.,快速的、紧的,8097,0.326,life
fat,adj.,肥的、胖的、油腻的,8826,0.746,life+postgrad
fat,n.,脂肪、脂油、肥肉,1795,0.152,life+postgrad
fault,n.,过错、故障、毛病,10870,0.955,cet4+postgrad
fault,v.,挑剔,435,0.038,cet4+postgrad
favour,n.,好感、偏爱、喜爱,9150,0.933,cet4+cet6
favour,v.,赞成、帮助、支持,596,0.061,cet4+cet6
fear,n.,恐怖、害怕、担心,10369,0.746,life+cet4+cet6+postgrad
fear,v.,害怕、恐惧、为...担心,3530,0.254,life+cet4+cet6+postgrad
feast,n.,宴会、酒席、享受,1920,0.749,cet4+cet6+postgrad
feast,v.,款待、享乐、请客,302,0.118,cet4+cet6+postgrad
feather,n.,羽毛,1154,0.760,cet4+cet6+postgrad
feather,v.,长羽毛,46,0.030,cet4+cet6+postgrad
feature,n.,面孔的一部分(如眼、口等)、特征、容貌,4826,0.844,life+cet4+cet6+postgrad
feature,v.,是...的特色、特写、放映,874,0.153,life+cet4+cet6+postgrad
feed,v.,喂、饲养、放牧,7445,0.763,life+cet4+cet6+postgrad
feed,n.,饲料、一餐、饲养,2291,0.235,life+cet4+cet6+postgrad
feel,v.,感觉、觉得、触摸,100128,0.933,life
feel,n.,感觉、觉得、触摸,5457,0.051,life
fellow,adj.,同伴的、同事的、同道的,3454,0.546,cet4+cet6+postgrad
fellow,n.,男人、朋友、同事,2632,0.416,cet4+cet6+postgrad
female,adj.,女性的、女子的,6025,0.638,life+cet4+cet6+postgrad
female,n.,女性、女人、雌性动物,3158,0.335,life+cet4+cet6+postgrad
fetch,v.,接来、取来、售得,2902,0.966,cet4+cet6+postgrad
fetch,n.,取得、拿、诡计,84,0.028,cet4+cet6+postgrad
fight,v.,对抗、打架,11669,0.527,life+cet4+cet6+postgrad
fight,n.,打架、争吵、斗志,10460,0.473,life+cet4+cet6+postgrad
figure,n.,数字、价格、图形,12530,0.831,life+cet4+cet6+postgrad
figure,v.,描绘、表示、演算,2532,0.168,life+cet4+cet6+postgrad
file,n.,档案、公文箱、文件夹,1979,0.827,life+cet4+postgrad
file,v.,列队行进、用锉刀做,369,0.154,life+cet4+postgrad
fill,v.,装满、填充、弥漫,8018,0.911,life
fill,n.,满足、装满、充分,716,0.081,life
finance,n.,财政、财务,3364,0.645,cet4+cet6+postgrad
finance,v.,供给...经费、负担经费,628,0.120,cet4+cet6+postgrad
fine,adj.,好的、晴朗的、健康的,39661,0.710,life
fine,n.,罚款、罚金、晴天,9599,0.172,life
finish,v.,完成、结束、用完,13842,0.601,life
finish,n.,完成、结束、末道漆,9170,0.398,life
fire,n.,火、炉火、电炉,26871,0.872,life
fire,v.,点燃、烧制、使发光,2175,0.071,life
firm,n.,公司、商号,5887,0.839,life+cet4+cet6+postgrad
firm,adj.,坚定的、坚强的、牢固的,1019,0.145,life+cet4+cet6+postgrad
firm,v.,使牢固、使坚定,113,0.016,life+cet4+cet6+postgrad
first,adj.,第一的,207020,0.691,life
first,adv.,首先、第一、优先,71368,0.238,life
fit,v.,适合、安装、使合身,11422,0.611,life
fit,n.,适宜、合身、发作,4164,0.223,life
fit,adj.,适宜的、对的、准备好的,2950,0.158,life
fitting,adj.,适宜的,1948,0.765,cet6+postgrad
fitting,n.,试穿、试衣、装配,572,0.225,cet6+postgrad
fix,v.,使固定、修理、准备,6401,0.849,life+cet4+cet6+postgrad
fix,n.,困境、方位、维修,1053,0.140,life+cet4+cet6+postgrad
flake,n.,小薄片、扁薄的一层、火星,173,0.526,cet6
flake,v.,使成薄片,84,0.255,cet6
flank,n.,侧面、侧腹、胁,253,0.852,cet6
flank,v.,攻击侧面、守侧面,25,0.084,cet6
flare,n.,闪光、闪耀,275,0.702,cet4+cet6+postgrad
flare,v.,闪光、闪耀,85,0.217,cet4+cet6+postgrad
flash,n.,闪光、闪现、一瞬间,2428,0.755,cet4+cet6+postgrad
flash,v.,闪光、闪现、反射,437,0.136,cet4+cet6+postgrad
flat,adj.,平坦的、单调的、无力的,19198,0.967,cet4+cet6+postgrad
flat,adv.,平直地、断然地,212,0.011,cet4+cet6+postgrad
flavour,n.,味、调味香料、滋味,10277,0.956,cet4+cet6
flavour,v.,给...调味、给...增添风趣、加香料,287,0.027,cet4+cet6
fling,n.,投掷、急冲、嘲弄,259,0.538,cet6+postgrad
fling,v.,投、丢下、抛弃,168,0.349,cet6+postgrad
float,v.,浮动、飘动、散播,1210,0.659,cet4+cet6+postgrad
float,n.,漂流物、浮舟、漂浮,603,0.328,cet4+cet6+postgrad
flow,n.,流程、流动、流量,3343,0.798,life+cet4+postgrad
flow,v.,流动、流泄、畅流,762,0.182,life+cet4+postgrad
fluid,n.,液体、分泌液、流体,1131,0.702,cet4+cet6+postgrad
fluid,adj.,流动的、可改变的,471,0.293,cet4+cet6+postgrad
fluorescent,adj.,荧光的,155,0.775,cet6
fluorescent,n.,荧光,21,0.105,cet6
flush,adj.,丰足的、齐平的、满盈的,616,0.556,cet4+cet6+postgrad
flush,v.,脸发红、奔涌、旺盛,488,0.440,cet4+cet6+postgrad
flutter,n.,摆动、鼓翼、烦扰,321,0.709,cet6
flutter,v.,摆动、鼓翼、烦扰,93,0.205,cet6
fly,v.,飞、飞翔、飘扬,12408,0.768,life
fly,n.,苍蝇、两翼昆虫、飞行,3739,0.232,life
focus,n.,焦点、焦距,6844,0.563,life+cet4+cet6+postgrad
focus,v.,聚焦、注视,5071,0.417,life+cet4+cet6+postgrad
fog,n.,雾、迷惑、(割后的)最生草,2369,0.976,cet4+cet6+postgrad
fog,v.,被雾笼罩、变模糊,49,0.020,cet4+cet6+postgrad
foil,n.,箔、烘托、衬托,943,0.951,cet6
foil,v.,贴箔于、衬托、阻止,44,0.044,cet6
following,adj.,下列的、其次的,1868,0.122,life+cet4+cet6+postgrad
following,n.,下列各项、部下、追随者,358,0.023,life+cet4+cet6+postgrad
fool,n.,愚人、受骗者、奶油拌水果,3503,0.758,cet4+postgrad
fool,v.,愚弄、欺骗、浪费,995,0.215,cet4+postgrad
foot,n.,脚、步调、英尺,15652,0.935,life
foot,v.,走在...上、给...换底、支付,237,0.014,life
force,n.,力量、武力、势力,13425,0.730,life+cet4+cet6+postgrad
force,v.,强迫、强夺、推动,3071,0.167,life+cet4+cet6+postgrad
forecast,n.,预想、预测、预报,3288,0.810,cet4+cet6+postgrad
forecast,v.,预想、预测、预报,751,0.185,cet4+cet6+postgrad
foremost,adj.,最初的、最重要的,576,0.671,cet4+cet6+postgrad
foremost,adv.,在最前,278,0.324,cet4+cet6+postgrad
forfeit,v.,没收、丧失,423,0.904,postgrad
forfeit,n.,没收物、罚金、丧失,32,0.068,postgrad
fork,n.,叉子、叉状物、分岔,1587,0.838,cet4+cet6+postgrad
fork,v.,分支、分歧,222,0.117,cet4+cet6+postgrad
form,n.,形状、形体、类型,19786,0.815,life
form,v.,形成、排列、(使)组成,4480,0.185,life
forward,adv.,向前地,41807,0.966,life
forward,adj.,向前的、早的、迅速的,523,0.012,life
fossil,n.,化石、古物,636,0.594,cet6+postgrad
fossil,adj.,化石的、陈腐的、守旧的,398,0.372,cet6+postgrad
frame,n.,框、结构、体格,10923,0.952,life+cet4+cet6+postgrad
frame,v.,构成、设计、制定,480,0.042,life+cet4+cet6+postgrad
free,adj.,自由的、享受政治权力的、允许的,32587,0.917,life
free,v.,释放、解放、使自由,717,0.020,life
freeze,n.,结冰、凝固,2462,0.609,cet4+cet6+postgrad
freeze,v.,冻结、冷冻、僵硬,1579,0.391,cet4+cet6+postgrad
fret,v.,烦恼、不满、磨损,115,0.489,cet6
fret,n.,烦躁、磨损、焦急,110,0.468,cet6
frost,n.,霜、冰冻、冷漠,1450,0.556,cet4+cet6+postgrad
frost,v.,覆着霜、冻结、结霜,46,0.018,cet4+cet6+postgrad
frown,n.,皱眉,170,0.521,cet4+cet6+postgrad
frown,v.,皱眉头,78,0.239,cet4+cet6+postgrad
fuel,n.,燃料、木炭,8169,0.959,life+cet4+postgrad
fuel,v.,加燃料、供燃料,350,0.041,life+cet4+postgrad
function,n.,官能、职务、功能,1737,0.747,life+cet4+cet6+postgrad
function,v.,活动、运行、行使职责,585,0.252,life+cet4+cet6+postgrad
fund,n.,基金、资金、存款,6658,0.674,life+cet4+cet6+postgrad
fund,v.,提供资金、积累,1925,0.195,life+cet4+cet6+postgrad
further,adj.,更远的、此外的、更多的,18209,0.584,cet4+cet6+postgrad
further,adv.,更进一步地、更远地、此外,12868,0.412,cet4+cet6+postgrad
fuss,n.,大惊小怪、小题大作、忙乱,1609,0.889,cet6+postgrad
fuss,v.,无事自扰、焦急、焦燥,158,0.087,cet6+postgrad
future,n.,未来、将来,30310,0.753,life
future,adj.,将来的、未来的,9182,0.228,life
gain,v.,得到、增进、赚到,2601,0.594,life+cet4+cet6+postgrad
gain,n.,增益、获得、利润,1476,0.337,life+cet4+cet6+postgrad
gallop,n.,疾驰、飞奔,248,0.557,postgrad
gallop,v.,飞驰、急速进行、急急忙忙地说,145,0.326,postgrad
gamble,n.,赌博、冒险,2263,0.789,cet6+postgrad
gamble,v.,赌博、孤注一掷,503,0.175,cet6+postgrad
gasp,v.,喘气、喘息、渴望,296,0.701,cet4+cet6+postgrad
gasp,n.,喘气,35,0.083,cet4+cet6+postgrad
gauge,n.,标准度量、计量器,622,0.628,cet4+cet6+postgrad
gauge,v.,精确计量、估计,359,0.362,cet4+cet6+postgrad
gear,n.,齿轮、工具,3725,0.791,cet4+cet6+postgrad
gear,v.,以齿轮连起、开动、使适应,92,0.020,cet4+cet6+postgrad
gender,n.,性,844,0.920,life+postgrad
gender,v.,产生,62,0.068,life+postgrad
general,adj.,全面的、大体的、总的,14790,0.656,life+cet4+cet6+postgrad
general,n.,一般、将军、大体,592,0.026,life+cet4+cet6+postgrad
giant,adj.,庞大的、巨大的,6044,0.688,cet4+cet6+postgrad
giant,n.,巨人、大力士、巨大怪物,1970,0.224,cet4+cet6+postgrad
giggle,n.,咯咯笑、傻笑,556,0.772,postgrad
giggle,v.,吃吃地笑、咯咯地笑,23,0.032,postgrad
gleam,n.,光束、微光、反光,71,0.568,cet6
gleam,v.,闪烁、隐约地闪现,54,0.432,cet6
glitter,n.,灿烂、闪烁、辉耀,652,0.772,cet4+cet6+postgrad
glitter,v.,灿烂、闪烁、辉耀,34,0.040,cet4+cet6+postgrad
go,v.,去、走、达到,523931,0.969,life
go,n.,去、尝试、进行,14720,0.027,life
gold,n.,黄金、钱财、金块,21707,0.852,life+cet4+postgrad
gold,adj.,金的、似金的、金色的,1517,0.060,life+cet4+postgrad
gown,n.,睡衣、法衣、大学全体师生,674,0.865,cet4+cet6+postgrad
gown,v.,使穿睡衣,70,0.090,cet4+cet6+postgrad
grab,v.,抓取、抢去,6763,0.939,life+cet6+postgrad
grab,n.,抓握、掠夺、强占,353,0.049,life+cet6+postgrad
graduate,n.,毕业生、量杯,1415,0.797,cet4+cet6+postgrad
graduate,adj.,已得学位的、研究生的、毕业的,333,0.188,cet4+cet6+postgrad
grasp,n.,把握、抓紧、理解,620,0.519,cet4+cet6+postgrad
grasp,v.,抓住、紧握、领会,572,0.479,cet4+cet6+postgrad
grave,n.,墓穴、坟墓、终结,1966,0.618,cet4+cet6+postgrad
grave,adj.,庄重的、严肃的、重大的,1112,0.350,cet4+cet6+postgrad
green,adj.,绿色的、未成熟的、新鲜的,23645,0.713,life
green,n.,绿色、绿色颜料,1585,0.048,life
grey,n.,灰色,4103,0.635,cet4+cet6+postgrad
grey,adj.,灰色的、阴沉的,922,0.143,cet4+cet6+postgrad
grey,v.,(使)成灰色,77,0.012,cet4+cet6+postgrad
grin,n.,露齿笑,571,0.809,cet6+postgrad
grin,v.,露齿而笑,93,0.132,cet6+postgrad
grind,v.,磨擦、磨碎、磨光,600,0.694,cet4+cet6+postgrad
grind,n.,磨、碾、苦差,217,0.251,cet4+cet6+postgrad
groan,n.,呻吟、叹息,87,0.399,cet4+cet6+postgrad
groan,v.,呻吟、抱怨、受压迫,59,0.271,cet4+cet6+postgrad
